id,reviser
interview_0014_001,Woodrow Hand
interview_0055_001,Jack Kytle
interview_0076_001,Wilson L. Heflin
interview_0098_001,Stetson Kennedy
interview_0100_001,Elvira E. Burnell
interview_0102_001,N. C. Browder
interview_0102_001,Robert Cornwall
interview_0102_001,Veronica E. Huss
interview_0103_001,Robert Cornwall
interview_0103_001,Veronica E. Huss
interview_0104_001,Veronica E. Huss
interview_0105_001,Veronica E. Huss
interview_0106_001,Veronica E. Huss
interview_0107_001,Veronica E. Huss
interview_0109_001,Stetson Kennedy
interview_0110_001,Stetson Kennedy
interview_0111_001,Stetson Kennedy
interview_0112_001,Evelyn Werner
interview_0112_001,Veronica E. Huss
interview_0113_001,Veronica E. Huss
interview_0114_001,Evelyn Werner
interview_0115_001,Veronica E. Huss
interview_0116_001,Veronica E. Huss
interview_0117_001,Evelyn Werner
interview_0127_001,Robert Edwards
interview_0127_001,Veronica E. Huss
interview_0128_001,Evelyn Werner
interview_0129_001,Evelyn Werner
interview_0130_001,Evelyn Werner
interview_0131_001,Evelyn Werner
interview_0132_001,Evelyn Werner
interview_0133_001,Evelyn Werner
interview_0134_001,Stetson Kennedy
interview_0154_001,Maggie Freeman
interview_0155_001,Maggie Freeman
interview_0156_001,Maggie Freeman
interview_0157_001,Rudene Hix
interview_0158_001,John N. Booth
interview_0163_001,Grace McCune
interview_0164_001,John N. Booth
interview_0164_001,Sarah H. Hall
interview_0166_001,John N. Booth
interview_0166_001,Sarah H. Hall
interview_0167_001,John N. Booth
interview_0167_001,Sarah H. Hall
interview_0168_001,John N. Booth
interview_0168_001,Sarah H. Hall
interview_0169_001,John N. Booth
interview_0169_001,Sarah H. Hall
interview_0170_001,John N. Booth
interview_0170_001,Sarah H. Hall
interview_0171_001,John N. Booth
interview_0171_001,Sarah H. Hall
interview_0173_001,John N. Booth
interview_0173_001,Sarah H. Hall
interview_0177_001,John N. Booth
interview_0177_001,Sarah H. Hall
interview_0178_001,John N. Booth
interview_0178_001,Sarah H. Hall
interview_0179_001,John N. Booth
interview_0179_001,Sarah H. Hall
interview_0180_001,John N. Booth
interview_0180_001,Sarah H. Hall
interview_0181_001,John N. Booth
interview_0181_001,Sarah H. Hall
interview_0182_001,John N. Booth
interview_0182_001,Sarah H. Hall
interview_0183_001,John N. Booth
interview_0183_001,Sarah H. Hall
interview_0184_001,John N. Booth
interview_0184_001,Sarah H. Hall
interview_0185_001,John N. Booth
interview_0185_001,Sarah H. Hall
interview_0186_001,John N. Booth
interview_0186_001,Sarah H. Hall
interview_0187_001,John N. Booth
interview_0187_001,Sarah H. Hall
interview_0188_001,John N. Booth
interview_0188_001,Sarah H. Hall
interview_0189_001,John N. Booth
interview_0189_001,Sarah H. Hall
interview_0190_001,John N. Booth
interview_0190_001,Sarah H. Hall
interview_0191_001,Grace McCune
interview_0192_001,Leila Harris
interview_0192_001,Sarah H. Hall
interview_0193_001,Sarah H. Hall
interview_0194_001,John N. Booth
interview_0194_001,Sarah H. Hall
interview_0195_001,John N. Booth
interview_0195_001,Sarah H. Hall
interview_0196_001,Sarah H. Hall
interview_0197_001,Sarah H. Hall
interview_0198_001,N. C. Browder
interview_0199_001,John N. Booth
interview_0199_001,Sarah H. Hall
interview_0200_001,John N. Booth
interview_0200_001,Sarah H. Hall
interview_0201_001,John N. Booth
interview_0201_001,Sarah H. Hall
interview_0204_001,John N. Booth
interview_0204_001,Leila Harris
interview_0204_001,Sarah H. Hall
interview_0205_001,John N. Booth
interview_0205_001,Sarah H. Hall
interview_0206_001,John N. Booth
interview_0206_001,Sarah H. Hall
interview_0207_001,John N. Booth
interview_0207_001,Sarah H. Hall
interview_0208_001,John N. Booth
interview_0208_001,Sarah H. Hall
interview_0209_001,John N. Booth
interview_0209_001,Sarah H. Hall
interview_0211_001,Sarah H. Hall
interview_0213_001,John N. Booth
interview_0213_001,Sarah H. Hall
interview_0214_001,John N. Booth
interview_0214_001,Sarah H. Hall
interview_0215_001,Grace McCune
interview_0216_001,John N. Booth
interview_0216_001,Sarah H. Hall
interview_0217_001,John N. Booth
interview_0217_001,Sarah H. Hall
interview_0218_001,Sarah H. Hall
interview_0219_001,John N. Booth
interview_0219_001,Sarah H. Hall
interview_0221_001,John N. Booth
interview_0221_001,Sarah H. Hall
interview_0222_001,John N. Booth
interview_0222_001,Sarah H. Hall
interview_0223_001,Sarah H. Hall
interview_0224_001,John N. Booth
interview_0224_001,Sarah H. Hall
interview_0225_001,John N. Booth
interview_0225_001,Sarah H. Hall
interview_0226_001,John N. Booth
interview_0226_001,Leila Harris
interview_0226_001,Sarah H. Hall
interview_0227_001,John N. Booth
interview_0227_001,Leila Harris
interview_0227_001,Sarah H. Hall
interview_0229_001,John N. Booth
interview_0229_001,Sarah H. Hall
interview_0230_001,John N. Booth
interview_0230_001,Sarah H. Hall
interview_0231_001,John N. Booth
interview_0231_001,Sarah H. Hall
interview_0232_001,John N. Booth
interview_0232_001,Sarah H. Hall
interview_0233_001,Leila Harris
interview_0233_001,Sarah H. Hall
interview_0234_001,John N. Booth
interview_0234_001,Sarah H. Hall
interview_0235_001,John N. Booth
interview_0235_001,Sarah H. Hall
interview_0236_001,Sarah H. Hall
interview_0256_001,Maurice Russell
interview_0261_001,Maurice Russell
interview_0274_001,Claude V. Dunnagan
interview_0275_001,Claude V. Dunnagan
interview_0277_001,George L. Andrews
interview_0278_001,Edwin Massengill
interview_0279_001,William J. Sadler
interview_0280_001,William J. Sadler
interview_0283_001,Edwin Massengill
interview_0284_001,Edwin Massengill
interview_0285_001,Edwin Massengill
interview_0287_001,Edwin Massengill
interview_0288_001,Edwin Massengill
interview_0289_001,Edwin Massengill
interview_0300_001,Edwin Massengill
interview_0310_001,Edwin Massengill
interview_0311_001,Edwin Massengill
interview_0311_001,William J. Sadler
interview_0323_001,Edwin Massengill
interview_0324_001,Edwin Massengill
interview_0325_001,Edwin Massengill
interview_0326_001,Edwin Massengill
interview_0327_001,Edwin Massengill
interview_0328_001,Edwin Massengill
interview_0329_001,Edwin Massengill
interview_0330_001,Edwin Massengill
interview_0334_001,Edwin Massengill
interview_0334_001,William J. Sadler
interview_0335_001,Edwin Massengill
interview_0343_001,Dudley W. Crawford
interview_0344_001,Dudley W. Crawford
interview_0345_001,Dudley W. Crawford
interview_0346_001,Dudley W. Crawford
interview_0347_001,Mary Northrop
interview_0348_001,Dudley W. Crawford
interview_0349_001,Dudley W. Crawford
interview_0350_001,Dudley W. Crawford
interview_0351_001,Dudley W. Crawford
interview_0352_001,Dudley W. Crawford
interview_0353_001,Dudley W. Crawford
interview_0354_001,Dudley W. Crawford
interview_0355_001,Mary Northrop
interview_0357_001,Dudley W. Crawford
interview_0366_001,Edwin Massengill
interview_0506_001,William J. Sadler
interview_0509_001,Edwin Massengill
interview_0510_001,George L. Andrews
interview_0511_001,Edwin Massengill
interview_0516_001,Edwin Massengill
interview_0517_001,Edwin Massengill
interview_0518_001,Edwin Massengill
interview_0519_001,Edwin Massengill
interview_0519_001,William J. Sadler
interview_0520_001,Edwin Massengill
interview_0521_001,Edwin Massengill
interview_0522_001,Edwin Massengill
interview_0523_001,Edwin Massengill
interview_0524_001,Edwin Massengill
interview_0525_001,Edwin Massengill
interview_0525_001,William J. Sadler
interview_0526_001,Edwin Massengill
interview_0529_001,Edwin Massengill
